Operacja;Cmax;T;P
82700;11865;1.6001;1.26391e-40
82800;11865;1.59212;4.30434e-14
82900;11862;1.58418;1.21342e-19
83000;11862;1.57628;1.67515e-14
83100;11862;1.56842;1
83200;11862;1.56059;2.81504e-28
83300;11862;1.55281;3.21092e-24
83400;11862;1.54506;1.81653e-16
83500;11862;1.53736;1.76998e-22
83600;11864;1.52969;1.82786e-19
83700;11863;1.52206;7.49337e-14
83800;11863;1.51447;5.7211e-28
83900;11870;1.50692;8.7889e-24
84000;11866;1.4994;1.29265e-34
84100;11866;1.49192;3.53038e-25
84200;11866;1.48448;1.24499e-51
84300;11865;1.47708;2.27515e-13
84400;11861;1.46971;5.8784e-25
84500;11853;1.46238;1
84600;11853;1.45509;5.43162e-27
84700;11853;1.44783;1
84800;11853;1.44061;1
84900;11853;1.43342;7.66263e-33
85000;11853;1.42627;4.69463e-50
85100;11853;1.41916;2.1509e-19
85200;11853;1.41208;1.75525e-31
85300;11853;1.40504;3.36363e-20
85400;11853;1.39803;1.25226e-06
85500;11853;1.39106;1.05587e-25
85600;11853;1.38412;3.86283e-10
85700;11853;1.37721;4.62003e-24
85800;11853;1.37035;1.97415e-06
85900;11853;1.36351;8.30272e-35
86000;11853;1.35671;9.87581e-17
86100;11853;1.34994;1.69078e-25
86200;11853;1.34321;1.0324e-22
86300;11853;1.33651;1
86400;11853;1.32984;4.91482e-18
86500;11853;1.32321;3.03279e-10
86600;11853;1.31661;4.18623e-28
86700;11853;1.31005;1.47732e-31
86800;11853;1.30351;1.03613e-32
86900;11853;1.29701;8.37559e-18
87000;11853;1.29054;5.16517e-31
87100;11849;1.2841;4.60933e-24
87200;11845;1.2777;2.44894e-32
87300;11845;1.27133;9.0674e-44
87400;11845;1.26499;4.51091e-24
87500;11845;1.25868;2.70318e-27
87600;11845;1.2524;1.03879e-34
87700;11845;1.24615;1.14727e-14
87800;11845;1.23994;9.42903e-36
87900;11845;1.23375;1.58389e-09
88000;11845;1.2276;2.20893e-29
88100;11845;1.22148;1.66938e-18
88200;11846;1.21538;1.59515e-22
88300;11846;1.20932;2.31076e-51
88400;11846;1.20329;4.49428e-27
88500;11846;1.19729;8.188e-39
88600;11846;1.19132;3.93781e-17
88700;11846;1.18538;3.56333e-24
88800;11846;1.17946;1.90251e-29
88900;11846;1.17358;3.37408e-12
89000;11846;1.16773;0.424703
89100;11846;1.1619;7.73453e-05
89200;11846;1.15611;2.78741e-32
89300;11846;1.15034;5.07142e-26
89400;11848;1.1446;2.53881e-30
89500;11839;1.13889;5.38219e-32
89600;11837;1.13321;3.90915e-37
89700;11837;1.12756;3.67341e-36
89800;11835;1.12194;5.13145e-58
89900;11922;1.11634;1.40896e-48
90000;11921;1.11077;2.06436e-66
90100;11917;1.10523;3.38263e-30
90200;11878;1.09972;1.31972e-25
90300;11878;1.09424;0.0644648
90400;11878;1.08878;0.000102608
90500;11878;1.08335;1.35559e-31
90600;11877;1.07795;2.10121e-39
90700;11863;1.07257;2.46848e-34
90800;11860;1.06722;2.02294e-41
90900;11860;1.0619;1.54653e-28
91000;11860;1.0566;2.11693e-18
91100;11860;1.05133;1.63898e-25
91200;11860;1.04609;5.8755e-29
91300;11860;1.04087;5.01109e-37
91400;11860;1.03568;4.11757e-35
91500;11854;1.03051;1.66206e-47
91600;11854;1.02537;1.205e-31
91700;11854;1.02026;4.52412e-13
91800;11850;1.01517;1.17422e-39
91900;11843;1.01011;6.33905e-18
92000;11845;1.00507;9.70347e-55
92100;11845;1.00006;2.32412e-16
92200;11843;0.995067;1.03954e-07
92300;11843;0.990104;1.97487e-31
92400;11843;0.985166;1.49321e-35
92500;11843;0.980252;9.9897e-36
92600;11843;0.975363;6.9003e-28
92700;11843;0.970498;4.17172e-40
92800;11843;0.965658;3.63645e-19
92900;11843;0.960841;1.39565e-58
93000;11841;0.956049;4.49719e-27
93100;11841;0.951281;1.34698e-33
93200;11841;0.946536;4.55682e-47
93300;11842;0.941815;6.61444e-58
93400;11841;0.937118;1.11572e-26
93500;11841;0.932444;9.08416e-48
93600;11841;0.927793;6.11959e-27
93700;11841;0.923165;4.01544e-50
93800;11840;0.918561;1.07081e-44
93900;11838;0.913979;1.2185e-40
94000;11838;0.909421;1.48415e-57
94100;11836;0.904885;2.77973e-35
94200;11836;0.900372;3.38631e-56
94300;11836;0.895881;1.43757e-37
94400;11830;0.891413;1.0572e-39
94500;11830;0.886967;5.47364e-12
94600;11830;0.882543;2.06186e-51
94700;11830;0.878141;5.09373e-65
94800;11830;0.873761;1.52581e-31
94900;11830;0.869403;1.12348e-54
95000;11830;0.865067;2.22493e-38
95100;11830;0.860752;1.63382e-32
95200;11830;0.856459;6.50278e-50
95300;11830;0.852187;1.81726e-13
95400;11830;0.847937;1.4046e-36
95500;11830;0.843708;1.711e-27
95600;11825;0.8395;3.77465e-58
95700;11824;0.835312;6.47125e-71
95800;11824;0.831146;2.93978e-36
95900;11824;0.827001;3.52702e-10
96000;11824;0.822876;4.35648e-93
96100;11823;0.818772;1.10956e-69
96200;11823;0.814688;8.9698e-42
96300;11823;0.810625;2.07966e-48
96400;11821;0.806582;1
96500;11821;0.802559;1.06024e-26
96600;11822;0.798556;5.04317e-54
96700;11822;0.794573;1.22351e-46
96800;11822;0.79061;2.09813e-58
96900;11822;0.786666;6.06801e-72
97000;11822;0.782743;9.15144e-57
97100;11822;0.778839;1.58885e-66
97200;11822;0.774954;6.8463e-07
97300;11822;0.771089;1.78877e-47
97400;11820;0.767243;7.06095e-15
97500;11820;0.763416;5.64778e-73
97600;11820;0.759609;9.56597e-37
97700;11820;0.75582;6.22243e-64
97800;11820;0.75205;2.03083e-80
97900;11820;0.748299;4.86254e-21
98000;11820;0.744567;1.47939e-41
98100;11820;0.740853;6.72135e-53
98200;11820;0.737158;1.90155e-48
98300;11820;0.733482;1.20061e-51
98400;11819;0.729823;3.40527e-113
98500;11819;0.726183;2.35248e-53
98600;11820;0.722561;1.26612e-56
98700;11820;0.718957;4.464e-23
98800;11819;0.715371;4.79705e-28
98900;11819;0.711803;3.37752e-53
99000;11819;0.708253;9.44059e-123
99100;11819;0.704721;1.49736e-39
99200;11812;0.701206;5.36177e-163
99300;11812;0.697708;2.87046e-82
99400;11812;0.694229;3.91904e-35
99500;11812;0.690766;1.03445e-61
99600;11812;0.687321;9.87526e-13
99700;11812;0.683893;2.74246e-36
99800;11812;0.680482;1.6709e-80
99900;11812;0.677088;2.07942e-110
