Operacja;Cmax;T;P
18000;13305;40.6561;0.0875923
18100;13356;40.4533;0.186197
18200;13355;40.2515;2.57041
18300;13074;40.0507;0.95129
18400;13043;39.851;1
18500;13062;39.6522;0.194125
18600;13062;39.4545;0.161236
18700;13144;39.2577;2.04058
18800;13302;39.0619;0.179923
18900;13110;38.867;0.902204
19000;13192;38.6732;0.752439
19100;13251;38.4803;0.252252
19200;13065;38.2884;0.877579
19300;12941;38.0974;1
19400;13052;37.9074;3.02819
19500;13113;37.7183;0.488785
19600;13065;37.5302;0.898902
19700;12900;37.343;1
19800;13189;37.1567;2.70684
19900;12980;36.9714;0.947341
20000;13315;36.787;0.190483
20100;13145;36.6035;3.15009
20200;13154;36.421;1.46872
20300;12923;36.2393;0.190966
20400;12990;36.0586;0.279235
20500;13055;35.8787;1
20600;12977;35.6998;0.214247
20700;12937;35.5217;0.169727
20800;12985;35.3445;0.507109
20900;13203;35.1683;0.171538
21000;13067;34.9929;0.30112
21100;12930;34.8183;0.189041
21200;12961;34.6447;0.40869
21300;12914;34.4719;2.84149
21400;13015;34.2999;0.201191
21500;13217;34.1289;0.275482
21600;13079;33.9586;0.0510879
21700;13123;33.7893;0.0857429
21800;13063;33.6207;0.40971
21900;12983;33.453;0.502816
22000;12963;33.2862;2.31912
22100;12819;33.1202;1.52608
22200;13119;32.955;0.325386
22300;13296;32.7906;1
22400;13037;32.6271;0.0673975
22500;12979;32.4643;0.148112
22600;12956;32.3024;0.0284358
22700;13015;32.1413;0.0804498
22800;12905;31.981;0.108602
22900;12933;31.8215;0.389551
23000;12848;31.6628;0.0620826
23100;12945;31.5048;1
23200;12792;31.3477;0.0210694
23300;12852;31.1914;0.21462
23400;12875;31.0358;0.119245
23500;13145;30.881;2.72878
23600;12937;30.727;0.102476
23700;13106;30.5737;1.63332
23800;12906;30.4212;0.175134
23900;13096;30.2695;0.695307
24000;13189;30.1185;0.292737
24100;13087;29.9683;0.935441
24200;13031;29.8188;1
24300;12981;29.6701;0.0825713
24400;12995;29.5221;1
24500;12851;29.3749;1.61059
24600;13003;29.2284;0.25448
24700;12916;29.0826;0.709036
24800;13022;28.9375;0.298346
24900;12995;28.7932;0.482228
25000;12879;28.6496;6.81924
25100;13064;28.5067;0.965529
25200;12915;28.3645;0.494056
25300;12994;28.223;3.2196
25400;13095;28.0823;1.28309
25500;12927;27.9422;0.488819
25600;12880;27.8028;1.59612
25700;12822;27.6642;0.025045
25800;12800;27.5262;0.747791
25900;13109;27.3889;1
26000;12908;27.2523;0.0493449
26100;12967;27.1164;0.164141
26200;12827;26.9811;0.140249
26300;12939;26.8465;0.111061
26400;12898;26.7126;0.0203783
26500;13010;26.5794;2.76164
26600;12866;26.4468;2.77574
26700;12786;26.3149;0.087854
26800;12896;26.1837;0.522433
26900;12947;26.0531;0.735603
27000;13085;25.9232;1
27100;13036;25.7939;0.278211
27200;13010;25.6652;0.0180752
27300;13071;25.5372;1
27400;12976;25.4098;8.71039
27500;12955;25.2831;0.133033
27600;12855;25.157;0.508771
27700;12707;25.0315;0.59491
27800;12895;24.9067;0.0258967
27900;12857;24.7824;0.0207811
28000;12958;24.6588;0.0293593
28100;12780;24.5358;0.271386
28200;12760;24.4135;0.00336752
28300;12874;24.2917;0.357308
28400;12909;24.1705;0.266089
28500;12848;24.05;0.067024
28600;12938;23.93;1.58356
28700;12873;23.8107;6.90265
28800;12875;23.6919;1
28900;12784;23.5738;1.88948
29000;12807;23.4562;0.146831
29100;12697;23.3392;3.93962
29200;12704;23.2228;0.739761
