0;13910
1;13728
2;13588
3;13464
4;13363
5;13277
6;13176
7;13092
8;13020
9;12928
10;12857
11;12782
12;12700
13;12658
14;12623
15;12601
16;12578
17;12559
18;12510
19;12487
20;12455
21;12414
22;12374
23;12327
24;12305
25;12274
26;12239
27;12218
28;12198
29;12176
30;12162
31;12149
32;12131
33;12125
34;12108
35;12091
36;12073
37;12060
38;12054
39;12033
40;12010
41;11998
42;11990
43;11975
44;11956
45;11940
46;11935
47;11934
48;11924
49;11917
50;11910
51;11902
52;11898
53;11892
54;11881
55;11876
56;11867
57;11864
58;11857
59;11850
60;11849
61;11844
62;11832
63;11822
64;11818
65;11815
66;11811
67;11805
68;11801
69;11796
70;11791
71;11790
72;11786
73;11783
74;11779
75;11777
76;11770
77;11767
78;11764
79;11761
80;11761
81;11761
82;11761
83;11761
84;11760
85;11759
86;11759
87;11759
88;11759
89;11758
90;11755
91;11753
92;11745
93;11742
94;11739
95;11732
96;11731
97;11729
98;11729
99;11728
100;11724
101;11721
102;11718
103;11716
104;11712
105;11698
106;11696
107;11693
108;11691
109;11690
110;11689
111;11688
112;11686
113;11685
114;11680
115;11680
116;11680
117;11680
118;11680
119;11680
120;11680
121;11676
122;11676
123;11676
124;11675
125;11674
126;11674
127;11674
128;11674
129;11672
130;11671
131;11668
132;11667
133;11667
134;11667
135;11667
136;11667
137;11667
138;11667
139;11667
140;11667
141;11667
142;11667
143;11667
144;11667
145;11667
146;11667
147;11667
148;11667
149;11667
150;11667
151;11667
152;11667
153;11667
154;11667
155;11667
156;11667
157;11667
158;11667
159;11667
160;11667
161;11661
162;11660
163;11660
164;11660
165;11660
166;11660
167;11660
168;11660
169;11660
170;11654
171;11649
172;11647
173;11645
174;11643
175;11639
176;11638
177;11638
178;11635
179;11633
180;11631
181;11629
182;11629
183;11629
184;11629
185;11629
186;11629
187;11629
188;11629
189;11629
190;11629
191;11629
192;11629
193;11629
194;11629
195;11629
196;11629
197;11629
198;11629
199;11629
200;11629
201;11629
202;11629
203;11629
204;11629
205;11629
206;11629
207;11629
208;11629
209;11629
210;11629
211;11629
212;11629
213;11629
214;11629
215;11629
216;11629
217;11629
218;11629
219;11629
220;11629
221;11629
222;11629
223;11629
224;11629
225;11629
226;11629
227;11629
228;11629
229;11629
230;11629
231;11629
232;11629
233;11629
234;11629
235;11629
236;11629
237;11629
238;11629
239;11629
240;11629
241;11629
242;11629
243;11629
244;11629
245;11629
246;11629
247;11629
248;11629
249;11629
250;11629
251;11629
252;11629
253;11629
254;11629
255;11629
256;11629
257;11629
258;11629
259;11629
260;11629
261;11629
262;11629
263;11629
264;11629
265;11629
266;11629
267;11629
268;11629
269;11629
270;11629
271;11629
272;11629
273;11629
274;11629
275;11629
276;11629
277;11629
278;11629
279;11629
280;11629
281;11629
282;11629
283;11629
284;11629
285;11629
286;11629
287;11629
288;11629
289;11629
290;11629
291;11629
292;11629
293;11629
294;11629
295;11629
296;11629
297;11629
298;11629
299;11629
300;11629
301;11629
302;11629
303;11629
304;11629
305;11629
306;11629
307;11629
308;11629
309;11629
310;11629
311;11629
312;11629
313;11629
314;11629
315;11629
316;11627
317;11625
318;11625
319;11625
320;11625
321;11625
322;11625
323;11625
324;11625
325;11625
326;11625
327;11625
328;11625
329;11625
330;11625
331;11625
332;11625
333;11625
334;11625
335;11625
336;11625
337;11625
338;11625
339;11625
340;11625
341;11625
342;11625
343;11625
344;11625
345;11625
346;11625
347;11625
348;11625
349;11625
350;11625
351;11625
352;11625
353;11625
354;11625
355;11625
356;11625
357;11625
358;11625
359;11625
360;11625
361;11625
362;11625
363;11625
364;11625
365;11625
366;11625
367;11625
368;11625
369;11625
370;11625
371;11625
372;11625
373;11625
374;11625
375;11625
376;11625
377;11625
378;11625
379;11625
380;11625
381;11625
382;11625
383;11625
384;11625
385;11625
386;11625
387;11625
388;11625
389;11625
390;11625
391;11625
392;11625
393;11625
394;11625
395;11625
396;11625
397;11625
398;11625
399;11625
400;11625
401;11625
402;11625
403;11624
404;11623
405;11622
406;11622
407;11622
408;11622
409;11622
410;11622
411;11622
412;11622
413;11622
414;11622
415;11622
416;11622
417;11622
418;11622
419;11622
420;11622
421;11622
422;11622
423;11622
424;11622
425;11622
426;11622
427;11622
428;11622
429;11622
430;11622
431;11622
432;11622
433;11622
434;11622
435;11622
436;11622
437;11622
438;11622
439;11622
440;11622
441;11622
442;11622
443;11622
444;11622
445;11622
446;11622
447;11622
448;11622
449;11622
450;11622
451;11619
452;11618
453;11618
454;11618
455;11618
456;11617
457;11617
458;11617
459;11617
460;11617
461;11617
462;11617
463;11616
464;11616
465;11616
466;11616
467;11616
468;11616
